Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,6507.419922,6550.250000,6507.419922,6511.490234,6511.490234,83200
2023-06-30,6525.390137,6525.390137,6468.069824,6468.069824,6468.069824,118700
2023-07-03,6459.529785,6508.209961,6459.529785,6508.209961,6508.209961,42900
2023-07-04,6501.649902,6519.069824,6494.509766,6514.470215,6514.470215,37100
2023-07-05,6509.200195,6512.390137,6446.790039,6512.390137,6512.390137,131000
2023-07-06,6491.529785,6496.149902,6436.540039,6474.259766,6474.259766,117800
2023-07-07,6459.259766,6459.259766,6379.029785,6379.029785,6379.029785,65000
2023-07-10,6386.229980,6410.500000,6375.259766,6379.720215,6379.720215,67300
2023-07-11,6387.979980,6430.279785,6385.439941,6398.640137,6398.640137,79000
2023-07-12,6424.189941,6466.850098,6421.049805,6466.850098,6466.850098,113400
2023-07-13,6475.660156,6579.040039,6475.660156,6578.490234,6578.490234,92600
2023-07-14,6581.399902,6624.790039,6526.439941,6624.790039,6624.790039,129200
2023-07-17,6604.910156,6610.890137,6550.759766,6550.759766,6550.759766,63700
2023-07-18,6560.370117,6610.569824,6528.799805,6528.799805,6528.799805,54300
2023-07-19,6539.229980,6564.169922,6530.330078,6541.910156,6541.910156,62100
2023-07-20,6547.799805,6645.359863,6547.799805,6613.500000,6613.500000,103500
2023-07-21,6620.029785,6689.040039,6620.029785,6647.560059,6647.560059,88200
2023-07-24,6653.549805,6677.479980,6631.250000,6631.250000,6631.250000,88500
2023-07-25,6650.620117,6698.410156,6650.620117,6661.109863,6661.109863,103900
2023-07-26,6683.220215,6683.220215,6622.609863,6679.129883,6679.129883,79500
2023-07-27,6660.120117,6677.919922,6627.589844,6677.919922,6677.919922,78400
2023-07-28,6664.620117,6671.609863,6625.259766,6625.259766,6625.259766,65700
2023-07-31,6632.600098,6678.290039,6591.470215,6591.470215,6591.470215,79500
2023-08-01,6627.560059,6641.919922,6593.799805,6593.799805,6593.799805,86200
2023-08-02,6607.049805,6616.259766,6475.799805,6483.279785,6483.279785,92900
2023-08-03,6496.859863,6576.759766,6496.859863,6576.759766,6576.759766,75600
2023-08-04,6580.490234,6590.649902,6450.839844,6450.839844,6450.839844,194200
2023-08-07,6498.589844,6522.589844,6485.029785,6507.779785,6507.779785,77700
2023-08-08,6517.129883,6541.640137,6465.979980,6472.970215,6472.970215,142800
2023-08-09,6490.089844,6530.450195,6478.740234,6530.450195,6530.450195,94700
2023-08-10,6508.779785,6508.779785,6446.799805,6449.660156,6449.660156,112300
2023-08-11,6457.049805,6458.770020,6405.910156,6405.910156,6405.910156,100800
2023-08-14,6404.270020,6404.270020,6306.810059,6329.189941,6329.189941,187300
2023-08-15,6337.669922,6370.430176,6297.169922,6335.910156,6335.910156,128600
2023-08-16,6333.200195,6410.089844,6322.100098,6410.089844,6410.089844,98500
2023-08-17,6393.529785,6409.979980,6353.740234,6364.970215,6364.970215,95500
2023-08-18,6352.080078,6366.080078,6290.270020,6290.270020,6290.270020,120300
2023-08-21,null,null,null,null,null,null
2023-08-22,6286.919922,6291.040039,6212.390137,6212.390137,6212.390137,107900
2023-08-23,6225.299805,6225.299805,6179.629883,6179.629883,6179.629883,86000
2023-08-24,6204.299805,6278.180176,6204.299805,6225.779785,6225.779785,67900
2023-08-25,6222.299805,6222.299805,6155.200195,6160.279785,6160.279785,39800
2023-08-28,null,null,null,null,null,null
2023-08-29,6161.029785,6225.000000,6142.149902,6225.000000,6225.000000,126400
2023-08-30,6224.810059,6300.439941,6224.810059,6295.290039,6295.290039,131500
2023-08-31,6291.950195,6291.950195,6175.250000,6175.250000,6175.250000,160600
2023-09-01,6215.549805,6220.250000,6179.879883,6181.060059,6181.060059,616700
2023-09-04,6195.370117,6217.740234,6183.740234,6214.680176,6214.680176,1768700
2023-09-05,6211.750000,6258.500000,6193.910156,6225.000000,6225.000000,63900
2023-09-06,6243.370117,6245.740234,6205.799805,6241.689941,6241.689941,61600
2023-09-07,6223.750000,6223.750000,6170.069824,6183.069824,6183.069824,68100
2023-09-08,6193.399902,6222.939941,6173.100098,6222.939941,6222.939941,48700
2023-09-11,6217.560059,6233.740234,6198.500000,6233.740234,6233.740234,75300
2023-09-12,6238.890137,6260.870117,6230.200195,6230.200195,6230.200195,101800
2023-09-13,6235.819824,6239.399902,6149.180176,6149.180176,6149.180176,92000
2023-09-14,6156.649902,6208.399902,6149.290039,6208.399902,6208.399902,66600
2023-09-15,6202.890137,6216.459961,6126.339844,6126.339844,6126.339844,167200
2023-09-18,6157.220215,6159.680176,6085.169922,6124.569824,6124.569824,66700
2023-09-19,6121.069824,6121.160156,6034.359863,6047.970215,6047.970215,66300
2023-09-20,6049.020020,6061.649902,5998.310059,6041.040039,6041.040039,86900
2023-09-21,6053.959961,6094.709961,6043.129883,6094.709961,6094.709961,96500
2023-09-22,6096.879883,6142.790039,6086.779785,6142.790039,6142.790039,76800
2023-09-25,6156.870117,6191.459961,6118.140137,6172.839844,6172.839844,134300
2023-09-26,6183.540039,6280.720215,6171.779785,6263.939941,6263.939941,108400
2023-09-27,6254.350098,6374.680176,6245.729980,6374.680176,6374.680176,103900
2023-09-28,6365.649902,6412.939941,6335.470215,6385.520020,6385.520020,73000
2023-09-29,6383.410156,6392.089844,6321.240234,6321.240234,6321.240234,154300
2023-10-02,6334.000000,6339.290039,6304.529785,6304.529785,6304.529785,68800
